time,u1,u2
635.1730000000067,176.88,176.09
635.5500000000067,177.14,176.09
635.9230000000067,177.41,175.82
636.2920000000067,177.41,176.09
636.6610000000068,177.14,176.09
637.0310000000068,177.14,176.09
637.4000000000068,176.88,176.09
637.7680000000069,177.14,176.09
638.1370000000069,176.88,176.09
638.5060000000069,177.41,175.56
638.8750000000069,176.35,176.09
639.2470000000069,177.67,176.09
639.6170000000069,177.14,176.35
639.9870000000069,177.67,175.82
640.3580000000069,177.14,175.56
640.7260000000069,176.88,176.09
641.0960000000069,177.14,176.09
641.464000000007,176.88,176.09
641.833000000007,177.14,175.82
642.204000000007,177.41,176.35
642.574000000007,176.88,176.09
642.948000000007,177.14,175.82
643.318000000007,176.88,175.56
643.689000000007,177.67,176.09
644.059000000007,177.41,175.82
644.429000000007,177.14,176.09
644.801000000007,176.88,175.3
645.174000000007,177.14,176.09
645.545000000007,176.62,175.82
645.912000000007,177.41,175.56
646.282000000007,177.14,175.82
646.650000000007,177.14,176.09
647.017000000007,177.41,176.09
647.385000000007,177.14,175.3
647.7530000000071,176.88,175.56
648.1240000000071,177.41,175.82
648.496000000007,176.88,175.82
648.867000000007,177.14,175.82
649.237000000007,176.88,175.82
649.604000000007,177.67,175.82
649.975000000007,176.88,176.09
650.345000000007,177.41,175.56
650.709000000007,177.41,175.82
651.081000000007,177.41,175.82
651.449000000007,177.14,175.82
651.819000000007,177.67,176.09
652.189000000007,177.67,175.82
652.558000000007,176.35,176.09
652.9270000000071,177.41,175.82
653.2970000000071,177.41,176.09
653.6700000000071,177.41,175.56
654.0400000000071,177.67,175.82
654.4070000000071,177.41,175.82
654.7750000000071,177.41,175.56
655.1460000000071,177.41,175.82
655.5180000000071,177.41,175.82
655.8860000000071,177.67,175.82
656.2550000000072,177.67,175.82
656.6260000000071,177.41,175.56
656.9970000000071,177.67,176.09
657.3650000000072,177.94,175.56
657.7390000000072,177.14,176.09
658.1080000000072,177.14,175.3
658.4830000000072,177.41,175.82
658.8540000000072,177.41,176.35
659.2210000000072,177.41,175.82
659.5920000000071,177.41,175.82
659.9590000000071,177.67,176.09
660.3300000000071,177.94,176.09
660.702000000007,177.67,175.56
661.0700000000071,177.14,176.09
661.4330000000072,177.94,176.09
661.8010000000072,177.67,175.82
662.1710000000072,177.94,176.09
662.5380000000072,177.67,175.82
662.9060000000072,177.41,175.82
663.2710000000072,176.88,176.09
663.6400000000073,177.67,176.09
664.0100000000073,177.94,176.35
664.3790000000073,177.67,175.3
664.7470000000073,177.94,175.82
665.1150000000074,177.67,175.82
665.4820000000074,177.67,176.09
665.8510000000074,177.67,175.56
666.2170000000074,177.67,176.09
666.5870000000074,177.67,175.56
666.9560000000074,177.94,175.82
667.3240000000075,177.94,175.82
667.6990000000075,177.67,176.09
668.0700000000074,178.2,175.82
668.4420000000074,177.41,176.09
668.8180000000074,177.67,176.09
669.1880000000074,178.2,176.09
669.5600000000073,177.67,176.09
669.9320000000073,177.94,176.09
670.3020000000073,177.67,175.56
670.6700000000073,177.41,176.09
671.0270000000073,177.67,175.82
671.3990000000073,177.67,175.56
671.7680000000073,177.94,176.09
672.1380000000073,177.94,175.82
672.5080000000073,178.2,176.09
672.8870000000073,177.94,176.09
673.2570000000073,177.94,176.35
673.6280000000073,177.94,176.09
673.9990000000073,178.2,176.09
674.3720000000073,177.41,176.09
674.7420000000074,177.41,176.35
675.1120000000074,177.94,176.09
675.4830000000073,177.41,176.09
675.8470000000074,177.94,176.35
676.2160000000074,178.2,176.09
676.5850000000074,178.2,175.82
676.9560000000074,177.94,176.35
677.3280000000074,177.94,176.09
677.6960000000074,178.2,176.35
678.0700000000074,178.2,176.35
678.4270000000074,177.94,176.35
678.7960000000074,177.94,176.09
679.1620000000074,178.2,176.35
679.5390000000074,178.46,175.56
679.9130000000074,177.41,176.35
680.2820000000074,178.2,176.09
680.6520000000074,177.94,176.09
681.0280000000074,178.2,176.35
681.4000000000074,177.67,176.35
681.7680000000074,177.94,175.82
682.1390000000074,178.2,176.35
682.5100000000074,178.2,175.82
682.8820000000073,178.2,176.35
683.2520000000073,178.2,176.62
683.6220000000073,177.94,177.14
683.9940000000073,178.73,176.62
684.3640000000073,177.94,176.35
684.7330000000073,177.94,176.35
685.1030000000073,177.41,176.62
685.4730000000073,177.94,176.35
685.8460000000074,178.46,176.62
686.2170000000074,178.46,176.35
686.5860000000074,178.2,176.88
686.9560000000074,178.2,176.62
687.3260000000074,178.46,176.09
687.6960000000074,178.46,176.35
688.0660000000074,177.94,176.35
688.4350000000074,178.46,176.09
688.8050000000075,178.46,176.35
689.1730000000075,177.94,176.35
689.5420000000075,178.46,176.62
689.9130000000075,178.46,176.62
690.2870000000075,178.46,176.35
690.6530000000075,177.94,176.88
691.0240000000075,178.46,176.62
691.3970000000076,178.73,176.35
691.7650000000076,178.46,176.88
692.1360000000076,178.46,176.88
692.5040000000076,178.46,176.88
692.8760000000076,178.46,176.62
693.2470000000076,178.2,176.88
693.6120000000076,178.46,175.82
693.9830000000076,178.46,176.88
694.3540000000075,178.46,176.62
694.7230000000076,178.73,176.88
695.0920000000076,178.2,176.62
695.4640000000076,178.46,176.88
695.8390000000076,178.46,176.88
696.2090000000076,178.46,177.14
696.5750000000075,178.2,176.88
696.9470000000075,177.94,176.62
697.3190000000075,178.73,176.35
697.6870000000075,178.73,176.35
698.0610000000075,178.46,177.14
698.4370000000075,178.46,177.14
698.8120000000075,178.73,176.88
699.1810000000075,178.46,176.88
699.5490000000076,178.73,177.14
699.9180000000076,178.46,176.88
700.2930000000076,178.73,177.14
700.6670000000076,178.2,176.88
701.0360000000077,178.99,176.62
701.3980000000076,178.73,177.14
701.7670000000077,178.73,176.88
702.1370000000077,178.46,177.14
702.5070000000077,178.2,177.41
702.8790000000076,178.99,177.14
703.2530000000077,178.73,177.14
703.6200000000076,178.73,176.35
703.9920000000076,178.73,177.14
704.3590000000075,178.99,176.88
704.7310000000075,178.99,177.14
705.1020000000075,178.46,177.14
705.4680000000075,178.73,177.41
705.8510000000075,178.99,177.41
706.2170000000075,178.73,177.14
706.5930000000075,178.73,177.14
706.9610000000075,178.46,177.14
707.3310000000075,178.73,177.14
707.7010000000075,178.99,176.62
708.0700000000076,178.73,177.41
708.4360000000075,178.46,177.14
708.8070000000075,178.73,177.41
709.1750000000076,178.73,177.14
709.5450000000076,178.73,176.88
709.9140000000076,178.73,177.41
710.2810000000076,178.73,177.41
710.6480000000075,178.99,177.41
711.0200000000075,178.46,177.67
711.3920000000074,178.73,177.14
711.7640000000074,178.99,177.41
712.1240000000074,179.26,177.67
712.4970000000075,179.52,177.41
712.8610000000075,178.99,177.41
713.2300000000075,178.99,177.41
713.5970000000075,179.26,177.67
713.9670000000075,178.73,177.14
714.3400000000075,178.73,177.41
714.7110000000075,178.99,177.94
715.0750000000075,178.99,177.41
715.4450000000076,178.99,177.14
715.8200000000076,178.73,177.41
716.1890000000076,178.73,177.14
716.5580000000076,178.99,177.67
716.9250000000076,178.99,177.14
717.2980000000076,178.99,177.94
717.6670000000076,178.99,177.94
718.0360000000077,179.52,177.67
718.4090000000077,178.99,177.14
718.7790000000077,179.26,177.94
719.1470000000078,178.99,177.41
719.5200000000078,178.99,177.94
719.8870000000078,178.99,177.41
720.2600000000078,178.99,177.94
720.6280000000079,179.26,177.94
721.0010000000079,178.73,177.14
721.3580000000079,179.26,177.94
721.7290000000079,179.52,177.94
722.0980000000079,179.26,177.94
722.4680000000079,179.26,177.94
722.8280000000079,179.26,178.2
723.1980000000079,178.46,177.41
723.567000000008,178.73,177.94
723.9340000000079,178.99,177.94
724.3050000000079,179.26,177.94
724.6810000000079,178.99,177.67
725.0530000000078,178.99,177.94
725.4230000000078,179.26,177.94
725.7910000000079,178.99,177.94
726.1610000000079,178.99,178.2
726.5330000000079,179.52,178.2
726.9050000000078,179.52,178.2
727.2720000000078,179.26,178.2
727.6420000000078,179.26,177.94
728.0080000000078,179.26,178.2
728.3810000000078,179.26,177.94
728.7520000000078,178.99,178.2
729.1270000000078,179.26,177.94
729.4970000000078,179.26,178.46
729.8660000000078,179.26,177.94
730.2340000000079,178.99,177.67
730.6040000000079,179.26,177.94
730.9740000000079,179.26,177.94
731.3420000000079,179.26,177.94
731.7080000000079,178.73,177.94
732.081000000008,178.99,178.2
732.4480000000079,179.26,178.46
732.8200000000079,179.26,177.94
733.1870000000079,179.26,178.46
733.5580000000078,179.26,178.2
733.9310000000079,178.99,178.46
734.3010000000079,179.26,178.46
734.6720000000079,179.52,178.46
735.0400000000079,179.52,178.2
735.4110000000079,179.26,178.46
735.7820000000079,179.52,178.2
736.1550000000079,179.78,178.2
736.5250000000079,179.26,178.2
736.8970000000079,178.99,178.73
737.2700000000079,179.26,178.46
737.640000000008,179.26,178.99
738.0110000000079,178.99,178.46
